Re	0.001	0.010	0.1	1	2	5	10	20	50	100	150	200	400
Vitesse1	0.001	0.010	0.1	1	2	5	10	20	50	100	150	200	400
Geo1	0.59506	5.9507	59.514	596.16	1195.9	3035.2	6315.7	14002	47421	136180	261960	424720	1471200
Vitesse2	0.002	0.02	0.2	2	4	10	20	40	100	200	300	400	800
Geo2	0.6219	6.213	62.141	623.71	1256.7	3246	6931.7	15670	51677	142290	268350	429050	1420400
Vitesse3	0.002	0.02	0.2	2	4	10	20	40	100	200	300	400	800
Geo3	0.91721	9.1722	91.73	919.22	1847.4	4744.4	10095	22757	75731	212890	407690	660270	2271800
